parking,parking_count
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
4,1
3,1
1,1
1,1
1,1
1,1
1,1
1,1
4,1
1,1
1,1
B1-52,1
G-21,1
1,1
1,1
,0
1,1
2,1
B1-60,1
B1-59,1
B1-61,1
1,1
1,1
1,1
1,1
1,1
1,1
B1-42,1
,0
,0
1,1
,0
,0
,0
G-145,1
1,1
1,1
1,1
,0
B-97,1
1,1
1,1
1,1
1,1
,0
,0
,0
1,1
1,1
,0
,0
,0
,0
EU,0
EU,0
1,1
1,1
1,1
1,1
2,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
2,1
3,1
2,1
2,1
1,1
,0
2,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
3,1
B2-46,1
1,1
1,1
1,1
B1-69,1
1,1
1,1
2,1
2,1
,0
1,1
,0
1,1
1,1
,0
G-68,1
1,1
,0
1,1
,0
1,1
1,1
1,1
1,1
,0
1,1
,0
1,1
,0
,0
,0
,0
1,1
1,1
1,1
1,1
"B1-01, B1-02",2
1,1
1,1
1,1
1,1
B1-83,1
G-16,1
1,1
,0
1,1
,0
1,1
,0
1,1
,0
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
G-81,1
1,1
1,1
1,1
2,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
EU,0
1,1
1,1
1,1
2,1
3,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
2,1
1,1
1,1
1,1
1,1
G-146,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
EU,0
1,1
,0
1,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
P1 D 5,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
2,1
,0
1,1
1,1
1,1
"G-96,G-03",2
1,1
1,1
1,1
2,1
2,1
,0
1,1
1,1
1,1
1  0,1
1,1
1,1
2,1
1,1
1,1
EU,0
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1  0,1
1,1
1,1
  B2-87,1
1  0,1
3,1
1,1
3,1
1,1
1,1
1,1
,0
1,1
,0
2,1
1,1
1,1
1,1
1  0,1
1,1
EU,0
1,1
1,1
,0
1,1
,0
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
G-03,1
G-04,1
1,1
G-05,1
1,1
1,1
1,1
